n   d   num_itr   embedding_time
4   0   500   2.0044634342193604
4   0   500   1.9226129055023193
4   0   500   1.8761436939239502
4   0   500   1.8469045162200928
4   0   500   1.8461737632751465
4   0   500   2.0703999996185303
4   0   500   2.1152899265289307
4   0   500   1.9944713115692139
4   0   500   1.8913805484771729
4   0   500   1.7960872650146484
