n   emb(s)   emb(ms)
5   1.624476671218872   1624.476671218872
5   1.6144194602966309   1614.4194602966309
5   1.8798103332519531   1879.8103332519531
5   1.459350824356079   1459.350824356079
5   1.5354864597320557   1535.4864597320557
5   1.543855905532837   1543.855905532837
5   1.2938761711120605   1293.8761711120605
5   1.6747393608093262   1674.7393608093262
5   1.2377898693084717   1237.7898693084717
5   1.677070140838623   1677.070140838623
5   1.2496161460876465   1249.6161460876465
5   1.2816882133483887   1281.6882133483887
5   2.1419081687927246   2141.9081687927246
5   1.3249990940093994   1324.9990940093994
5   1.2829201221466064   1282.9201221466064
5   1.9726448059082031   1972.6448059082031
5   1.1690258979797363   1169.0258979797363
5   1.2601802349090576   1260.1802349090576
5   1.1578004360198975   1157.8004360198975
5   2.1889660358428955   2188.9660358428955
5   1.1835987567901611   1183.5987567901611
5   1.3735125064849854   1373.5125064849854
5   1.22330641746521   1223.30641746521
5   1.268355369567871   1268.355369567871
5   2.305006980895996   2305.006980895996
5   1.2653429508209229   1265.3429508209229
5   1.281921625137329   1281.921625137329
5   1.2927930355072021   1292.7930355072021
5   1.2125277519226074   1212.5277519226074
5   2.6608476638793945   2660.8476638793945
5   1.3789944648742676   1378.9944648742676
5   1.3725214004516602   1372.5214004516602
5   1.2631714344024658   1263.1714344024658
5   1.3537585735321045   1353.7585735321045
5   1.2561097145080566   1256.1097145080566
5   1.3532400131225586   1353.2400131225586
5   1.3284523487091064   1328.4523487091064
5   3.091770648956299   3091.770648956299
5   1.6126840114593506   1612.6840114593506
5   1.25994873046875   1259.94873046875
5   1.4330899715423584   1433.0899715423584
5   1.5571494102478027   1557.1494102478027
5   1.3899359703063965   1389.9359703063965
5   1.25431489944458   1254.31489944458
5   1.3090150356292725   1309.0150356292725
5   1.2528095245361328   1252.8095245361328
5   3.5101592540740967   3510.1592540740967
5   1.3702402114868164   1370.2402114868164
5   1.435835599899292   1435.835599899292
5   1.3364925384521484   1336.4925384521484
5   1.398864507675171   1398.864507675171
5   1.2854325771331787   1285.4325771331787
5   1.289128303527832   1289.128303527832
5   1.374358892440796   1374.358892440796
5   1.5337369441986084   1533.7369441986084
5   1.4243645668029785   1424.3645668029785
5   1.2786738872528076   1278.6738872528076
5   3.9299514293670654   3929.9514293670654
5   1.3076889514923096   1307.6889514923096
5   1.3239870071411133   1323.9870071411133
5   1.3712680339813232   1371.2680339813232
5   1.2876389026641846   1287.6389026641846
5   1.550081491470337   1550.081491470337
5   2.07767391204834   2077.67391204834
5   1.8570117950439453   1857.0117950439453
5   1.7384302616119385   1738.4302616119385
5   1.6795763969421387   1679.5763969421387
5   1.2900314331054688   1290.0314331054688
5   1.3662235736846924   1366.2235736846924
5   1.4003527164459229   1400.3527164459229
5   1.421022891998291   1421.022891998291
5   4.7795329093933105   4779.532909393311
5   1.3199961185455322   1319.9961185455322
5   1.375403881072998   1375.403881072998
5   1.4249870777130127   1424.9870777130127
5   1.376781702041626   1376.781702041626
5   1.4735658168792725   1473.5658168792725
5   1.3071928024291992   1307.1928024291992
5   1.4160654544830322   1416.0654544830322
5   1.3345565795898438   1334.5565795898438
5   1.3880841732025146   1388.0841732025146
5   1.4438786506652832   1443.8786506652832
5   1.5422182083129883   1542.2182083129883
5   1.5144195556640625   1514.4195556640625
5   1.3748924732208252   1374.8924732208252
5   1.435227632522583   1435.227632522583
5   1.4090087413787842   1409.0087413787842
5   1.5857069492340088   1585.7069492340088
5   5.777648210525513   5777.648210525513
5   1.5788185596466064   1578.8185596466064
5   1.5715641975402832   1571.5641975402832
5   1.4571471214294434   1457.1471214294434
5   1.4754290580749512   1475.4290580749512
5   1.5780136585235596   1578.0136585235596
5   1.4697823524475098   1469.7823524475098
5   1.5272443294525146   1527.2443294525146
5   1.5713343620300293   1571.3343620300293
5   1.3978443145751953   1397.8443145751953
5   1.4621620178222656   1462.1620178222656
5   1.4854276180267334   1485.4276180267334
