n   emb(s)   emb(ms)
4   1.7636473178863525   1763.6473178863525
4   1.4492523670196533   1449.2523670196533
4   1.433511734008789   1433.511734008789
4   1.5315206050872803   1531.5206050872803
4   1.4022479057312012   1402.2479057312012
4   1.7653002738952637   1765.3002738952637
4   1.4251670837402344   1425.1670837402344
4   1.355597972869873   1355.597972869873
4   1.349078893661499   1349.078893661499
4   1.4700734615325928   1470.0734615325928
4   1.5037188529968262   1503.7188529968262
4   1.4216341972351074   1421.6341972351074
4   1.5132832527160645   1513.2832527160645
4   1.3775956630706787   1377.5956630706787
4   1.5878417491912842   1587.8417491912842
4   1.2553937435150146   1255.3937435150146
4   1.359499216079712   1359.499216079712
4   1.9527711868286133   1952.7711868286133
4   1.4640135765075684   1464.0135765075684
4   1.2850873470306396   1285.0873470306396
4   1.9972422122955322   1997.2422122955322
4   1.2796978950500488   1279.6978950500488
4   1.2098722457885742   1209.8722457885742
4   1.2345073223114014   1234.5073223114014
4   2.231750011444092   2231.750011444092
4   1.300239086151123   1300.239086151123
4   1.2391927242279053   1239.1927242279053
4   1.2857844829559326   1285.7844829559326
4   1.399510383605957   1399.510383605957
4   2.384007692337036   2384.007692337036
4   1.176558494567871   1176.558494567871
4   1.2623686790466309   1262.3686790466309
4   1.371692180633545   1371.692180633545
4   1.2809162139892578   1280.9162139892578
4   2.5937633514404297   2593.7633514404297
4   1.54398512840271   1543.98512840271
4   1.4911458492279053   1491.1458492279053
4   1.3167002201080322   1316.7002201080322
4   1.2810299396514893   1281.0299396514893
4   1.481414556503296   1481.414556503296
4   1.4319069385528564   1431.9069385528564
4   1.256096363067627   1256.096363067627
4   2.9869203567504883   2986.9203567504883
4   1.2512164115905762   1251.2164115905762
4   1.4352984428405762   1435.2984428405762
4   1.3782732486724854   1378.2732486724854
4   1.2961506843566895   1296.1506843566895
4   1.2602052688598633   1260.2052688598633
4   1.4215993881225586   1421.5993881225586
4   1.2937872409820557   1293.7872409820557
4   1.2809746265411377   1280.9746265411377
4   3.368253469467163   3368.253469467163
4   1.245901107788086   1245.901107788086
4   1.376296043395996   1376.296043395996
4   1.355698823928833   1355.698823928833
4   1.350074291229248   1350.074291229248
4   1.330284595489502   1330.284595489502
4   1.4741592407226562   1474.1592407226562
4   1.349520206451416   1349.520206451416
4   1.353982925415039   1353.982925415039
4   1.2229464054107666   1222.9464054107666
4   1.410750150680542   1410.750150680542
4   3.9115707874298096   3911.5707874298096
4   1.2889232635498047   1288.9232635498047
4   1.5141065120697021   1514.1065120697021
4   1.3646519184112549   1364.6519184112549
4   1.2969846725463867   1296.9846725463867
4   1.3320951461791992   1332.0951461791992
4   1.260765552520752   1260.765552520752
4   1.3112986087799072   1311.2986087799072
4   1.3813896179199219   1381.3896179199219
4   1.4885661602020264   1488.5661602020264
4   1.4789760112762451   1478.9760112762451
4   1.4526605606079102   1452.6605606079102
4   1.449357032775879   1449.357032775879
4   1.4905006885528564   1490.5006885528564
4   6.599030256271362   6599.030256271362
4   2.450934648513794   2450.934648513794
4   3.0150673389434814   3015.0673389434814
4   2.3594629764556885   2359.4629764556885
4   2.188699245452881   2188.699245452881
4   1.7304637432098389   1730.4637432098389
4   1.7084600925445557   1708.4600925445557
4   1.331310510635376   1331.310510635376
4   1.339777946472168   1339.777946472168
4   1.3911008834838867   1391.1008834838867
4   1.4384167194366455   1438.4167194366455
4   1.3004021644592285   1300.4021644592285
4   1.4113521575927734   1411.3521575927734
4   1.4095747470855713   1409.5747470855713
4   1.5409958362579346   1540.9958362579346
4   1.3783740997314453   1378.3740997314453
4   1.370983600616455   1370.983600616455
4   5.451575994491577   5451.575994491577
4   1.380469560623169   1380.469560623169
4   1.357935905456543   1357.935905456543
4   1.53462815284729   1534.62815284729
4   1.4018383026123047   1401.8383026123047
4   1.3620405197143555   1362.0405197143555
4   1.3824119567871094   1382.4119567871094
