n   d   num_itr   sp_name   p_sol   energy   variables   qubits   chain_strength   chain_break_method   py_time   embedding_time   qpu_sampling_time   qpu_anneal_time_per_sample   qpu_readout_time_per_sample   qpu_access_time   qpu_access_overhead_time   qpu_programming_time   qpu_delay_time_per_sample   total_post_processing_time   post_processing_overhead_time
6   10   1000   FixedEmbeddingComposite   0.891   -12.0   16   26   1.9361992407807622   majority_vote   2569.9260234832764   1779.6084880828857      120.5   0.02   0.07995999999999999   136.26317   1.28783   15.76317   0.02054   0.42   0.42
6   10   1000   FixedEmbeddingComposite   0.905   -12.0   16   28   1.9361992407807622   majority_vote   2767.116069793701   2043.2860851287842      87.32000000000001   0.02   0.04678   103.08277000000001   3.37223   15.762770000000002   0.02054   0.846   0.846
5   8   1000   FixedEmbeddingComposite   0.951   -10.0   11   13   1.6784906098256038   majority_vote   2655.2083492279053   1841.043472290039      114.7   0.02   0.07416   130.46317   3.03683   15.76317   0.02054   3.791   3.791
5   8   1000   FixedEmbeddingComposite   0.978   -10.0   11   13   1.6784906098256038   majority_vote   2651.6692638397217   1847.383975982666      151.42000000000002   0.02   0.11087999999999999   167.18277   1.34823   15.762770000000002   0.02054   0.273   0.273
5   8   1000   FixedEmbeddingComposite   0.981   -10.0   11   13   1.6784906098256038   majority_vote   2479.214668273926   1732.2516441345215      91.9   0.02   0.05136   107.66317   3.14283   15.76317   0.02054   2.1310000000000002   2.1310000000000002
5   8   1000   FixedEmbeddingComposite   0.977   -10.0   11   13   1.6784906098256038   majority_vote   2735.6338500976562   1885.8447074890137      114.7   0.02   0.07416   130.46317   2.64683   15.76317   0.02054   0.26   0.26
5   8   1000   FixedEmbeddingComposite   0.985   -10.0   11   13   1.6784906098256038   majority_vote   2543.909788131714   1769.8595523834229      102.94   0.02   0.0624   118.70237   3.2086300000000003   15.76237   0.02054   2.164   2.164
4   6   1000   FixedEmbeddingComposite   1.0   -8.0   8   8   1.414   majority_vote   2595.829486846924   1770.8613872528076      136.0   0.02   0.09545999999999999   151.76277   2.38723   15.762770000000002   0.02054   0.5700000000000001   0.5700000000000001
4   6   1000   FixedEmbeddingComposite   1.0   -8.0   8   8   1.414   majority_vote   2451.371431350708   1725.799798965454      96.56   0.02   0.05602000000000001   112.32236999999999   0.85763   15.76237   0.02054   0.628   0.628
4   6   1000   FixedEmbeddingComposite   0.998   -8.0   8   8   1.414   majority_vote   2596.751928329468   1822.5464820861816      124.16   0.02   0.08362   139.92276999999999   2.98023   15.762770000000002   0.02054   2.105   2.105
4   6   1000   FixedEmbeddingComposite   1.0   -8.0   8   8   1.414   majority_vote   2659.291982650757   1819.7052478790283      135.52   0.02   0.09498000000000001   151.28277   7.6072299999999995   15.762770000000002   0.02054   0.302   0.302
4   6   1000   FixedEmbeddingComposite   1.0   -8.0   8   8   1.414   majority_vote   2407.921075820923   1699.8164653778076      102.8   0.02   0.062259999999999996   118.56277   0.8782300000000001   15.762770000000002   0.02054   0.799   0.799
