n   d   num_itr   sp_name   p_sol   energy   variables   qubits   chain_strength   chain_break_method   py_time   embedding_time   qpu_sampling_time   qpu_anneal_time_per_sample   qpu_readout_time_per_sample   qpu_access_time   qpu_access_overhead_time   qpu_programming_time   qpu_delay_time_per_sample   total_post_processing_time   post_processing_overhead_time
10   18   1000   FixedEmbeddingComposite   0.017   -20.0   44   196   2.787540117933894   majority_vote   7289.442300796509   7136.728763580322      123.38000000000001   0.02   0.08284000000000001   139.14437   1.9826300000000001   15.764370000000001   0.02054   1.6500000000000001   1.6500000000000001
10   18   1000   FixedEmbeddingComposite   0.0   -18.0   44   206   2.787540117933894   majority_vote   5124.015808105469   5078.50980758667      188.6   0.02   0.14806   204.36437   2.6846300000000003   15.764370000000001   0.02054   2.753   2.753
10   18   1000   FixedEmbeddingComposite   0.0   -18.0   44   191   2.787540117933894   majority_vote   5761.709451675415   5719.001531600952      137.70000000000002   0.02   0.09716   153.46077   8.60223   15.76077   0.02054   1.516   1.516
10   18   1000   FixedEmbeddingComposite   0.004   -20.0   44   203   2.787540117933894   majority_vote   3961.190700531006   3918.8930988311768      125.04   0.02   0.0845   140.80237   2.59463   15.76237   0.02054   3.338   3.338
10   18   1000   FixedEmbeddingComposite   0.0   -18.0   44   205   2.787540117933894   majority_vote   5557.837009429932   5515.597105026245      200.28   0.02   0.15974000000000002   216.04076999999998   2.00723   15.76077   0.02054   1.031   1.031
10   18   1000   FixedEmbeddingComposite   0.001   -20.0   44   221   2.787540117933894   majority_vote   4269.2999839782715   4223.490953445435      116.08   0.02   0.07554000000000001   131.84117   1.44883   15.76117   0.02054   1.19   1.19
10   18   1000   FixedEmbeddingComposite   0.008   -20.0   44   193   2.787540117933894   majority_vote   4475.134611129761   4430.606365203857      171.58   0.02   0.13104   187.34237   1.6216300000000001   15.76237   0.02054   0.907   0.907
10   18   1000   FixedEmbeddingComposite   0.009   -20.0   44   195   2.787540117933894   majority_vote   5604.01177406311   5560.972213745117      143.68   0.02   0.10314000000000001   159.44037   8.013630000000001   15.760370000000002   0.02054   1.412   1.412

10   18   1000   FixedEmbeddingComposite   0.002   -20.0   44   195   2.787540117933894   majority_vote   8188.33327293396   8091.8896198272705      135.14000000000001   0.02   0.09459999999999999   150.90157000000002   2.05443   15.76157   0.02054   2.329   2.329
10   18   1000   FixedEmbeddingComposite   0.001   -20.0   44   202   2.787540117933894   majority_vote   4960.907459259033   4870.301961898804      97.62   0.02   0.05708   113.38117   1.59883   15.76117   0.02054   1.848   1.848
10   18   1000   FixedEmbeddingComposite   0.001   -20.0   44   198   2.787540117933894   majority_vote   8443.386793136597   8342.847108840942      127.68   0.02   0.08714000000000001   143.44117000000003   3.45683   15.76117   0.02054   2.809   2.809
10   18   1000   FixedEmbeddingComposite   0.0   -18.0   44   185   2.787540117933894   majority_vote   10011.022806167603   9893.775939941406      129.92000000000002   0.02   0.08938   145.67997   1.36403   15.75997   0.02054   1.055   1.055
