n	qpu_t	find_embedding_t	FixedEmbedding_t	num_qubits	topology
7	1.1789095401763916	1.3402459621429443	0.0028336048126220703	215	zephyr
7	1.084054946899414	0.9291384220123291	0.0034067630767822266	226	zephyr
7	1.4676923751831055	1.5652570724487305	0.003922224044799805	213	zephyr
7	1.2454652786254883	0.9631683826446533	0.003832578659057617	229	zephyr
7	1.1739437580108643	1.0116219520568848	0.00368499755859375	226	zephyr
7	1.1717321872711182	0.7232489585876465	0.0037615299224853516	227	zephyr
7	1.3662335872650146	1.5576469898223877	0.004107236862182617	213	zephyr
7	1.2946507930755615	1.1356711387634277	0.0044710636138916016	210	zephyr
7	1.0282135009765625	0.800163745880127	0.004714012145996094	234	zephyr
7	0.9687998294830322	0.6490566730499268	0.0059528350830078125	232	zephyr
7	1.2808010578155518	1.0286169052124023	0.0038259029388427734	225	zephyr
7	1.0434455871582031	1.4414536952972412	0.003878355026245117	212	zephyr
7	1.4811339378356934	0.8555917739868164	0.004045963287353516	218	zephyr
7	1.8916525840759277	0.7790038585662842	0.0042111873626708984	218	zephyr
7	1.2050108909606934	1.2170467376708984	0.003526926040649414	215	zephyr
7	1.3479111194610596	0.8118300437927246	0.004303455352783203	217	zephyr
7	1.6395370960235596	1.1819915771484375	0.00345611572265625	215	zephyr
7	1.2027831077575684	1.0406887531280518	0.0040073394775390625	221	zephyr
7	1.047598123550415	1.0259158611297607	0.003885507583618164	223	zephyr
7	0.9503629207611084	0.5963554382324219	0.00403285026550293	230	zephyr
7	1.6450364589691162	0.9952068328857422	0.003763437271118164	216	zephyr
7	1.6370291709899902	1.0894238948822021	0.004511117935180664	223	zephyr
7	0.9633443355560303	1.124413251876831	0.004281520843505859	221	zephyr
7	0.994537353515625	0.7603981494903564	0.0036797523498535156	234	zephyr
7	1.0551517009735107	1.5313224792480469	0.004697322845458984	206	zephyr
7	1.6609628200531006	0.6906239986419678	0.003999471664428711	226	zephyr
7	1.1343662738800049	0.6653156280517578	0.003934144973754883	224	zephyr
7	1.5772006511688232	0.9643735885620117	0.003743886947631836	214	zephyr
7	0.9821054935455322	1.1037929058074951	0.003869295120239258	216	zephyr
7	0.9550261497497559	1.6256635189056396	0.003970146179199219	215	zephyr
7	1.1313300132751465	0.9654526710510254	0.0038068294525146484	227	zephyr
7	1.1152851581573486	1.5230886936187744	0.003854513168334961	207	zephyr
7	1.741868257522583	1.1629993915557861	0.00586247444152832	215	zephyr
7	1.978191614151001	0.9476501941680908	0.003658771514892578	228	zephyr
7	1.638352394104004	0.3771078586578369	0.004575252532958984	244	zephyr
7	0.9686191082000732	1.310689926147461	0.004639625549316406	212	zephyr
7	1.085869312286377	0.7759857177734375	0.0047643184661865234	223	zephyr
7	1.5681753158569336	0.4741933345794678	0.004614830017089844	229	zephyr
7	1.044862985610962	1.5233337879180908	0.0046155452728271484	209	zephyr
7	1.3811943531036377	1.1898658275604248	0.9886617660522461	221	zephyr
7	1.096848964691162	1.2414205074310303	0.003807544708251953	212	zephyr
7	0.995471715927124	0.7344377040863037	0.004638671875	224	zephyr
7	1.374119520187378	0.8269708156585693	0.0038404464721679688	203	zephyr
7	0.9816310405731201	0.834383487701416	0.004740715026855469	222	zephyr
7	1.297206163406372	1.1109576225280762	0.0047607421875	207	zephyr
7	1.1256206035614014	1.3150007724761963	0.004545688629150391	204	zephyr
7	1.1150970458984375	1.0752010345458984	0.004884004592895508	216	zephyr
7	1.11342191696167	0.7188279628753662	0.003898143768310547	230	zephyr
7	1.141127586364746	0.8822743892669678	0.003957986831665039	222	zephyr
7	2.470384120941162	0.8146884441375732	0.004672527313232422	216	zephyr
7	0.9690701961517334	0.8651163578033447	0.004725933074951172	233	zephyr
7	1.099287509918213	0.9872262477874756	0.004866123199462891	210	zephyr
7	1.1463327407836914	0.5836560726165771	0.0046749114990234375	231	zephyr
7	0.9877431392669678	0.8170247077941895	0.00482177734375	223	zephyr
7	1.1032814979553223	1.4905388355255127	0.0048787593841552734	206	zephyr
7	0.9741883277893066	0.8780333995819092	0.004746198654174805	232	zephyr
7	1.0569579601287842	0.6477828025817871	0.0047991275787353516	236	zephyr
