n	qpu_t	find_embedding_t	FixedEmbedding_t	num_qubits	topology
7	1.1289796829223633	3.068779706954956	0.015796422958374023	289	pegasus
7	1.108461618423462	2.2533280849456787	0.0200345516204834	277	pegasus
7	1.064640998840332	4.501498222351074	0.020098209381103516	270	pegasus
7	1.1707243919372559	5.917040586471558	0.020968914031982422	275	pegasus
7	1.1408519744873047	5.346049547195435	0.023162364959716797	279	pegasus
7	1.3194317817687988	3.666144847869873	0.021472454071044922	279	pegasus
7	1.2283570766448975	3.211688756942749	0.020859479904174805	269	pegasus
7	1.1276769638061523	3.4573116302490234	0.022669315338134766	272	pegasus
7	1.388176679611206	4.612210512161255	0.025250911712646484	280	pegasus
7	1.0295207500457764	4.192967414855957	0.020377397537231445	274	pegasus
7	1.3395819664001465	5.465126276016235	0.021033048629760742	270	pegasus
7	0.9887490272521973	4.212332010269165	0.02016162872314453	279	pegasus
7	1.0013422966003418	6.982617616653442	0.41514110565185547	267	pegasus
7	1.0200159549713135	5.959989070892334	0.021764039993286133	276	pegasus
7	1.0069689750671387	3.6926276683807373	0.02405571937561035	276	pegasus
7	0.9665675163269043	3.924316167831421	0.49036264419555664	284	pegasus
7	1.0974359512329102	4.798298358917236	0.02328944206237793	276	pegasus
7	1.0674030780792236	6.422619819641113	0.020510435104370117	257	pegasus
7	0.9401116371154785	4.517307281494141	0.027411460876464844	265	pegasus
7	1.5061757564544678	3.08453369140625	0.021754980087280273	270	pegasus
7	0.9627466201782227	3.90268874168396	0.02383875846862793	275	pegasus
7	0.9820692539215088	4.36173415184021	0.020273685455322266	271	pegasus
7	1.023925542831421	2.090029716491699	0.022116422653198242	285	pegasus
7	0.9844174385070801	3.372920513153076	0.021699905395507812	280	pegasus
7	1.7158207893371582	4.266040802001953	0.02141571044921875	256	pegasus
7	0.9483473300933838	5.5680084228515625	0.021327495574951172	267	pegasus
7	1.0678138732910156	5.161647319793701	0.021498680114746094	251	pegasus
7	1.0334219932556152	2.778986692428589	0.021492481231689453	285	pegasus
7	0.9528512954711914	3.0843398571014404	0.02153801918029785	270	pegasus
7	1.8032195568084717	4.825637340545654	0.023648500442504883	271	pegasus
7	1.0322275161743164	4.759842872619629	0.024364233016967773	271	pegasus
7	0.9603705406188965	6.777210235595703	0.0278017520904541	266	pegasus
7	1.0475177764892578	2.513216733932495	0.022024154663085938	273	pegasus
7	1.168396234512329	5.801815032958984	0.025618553161621094	281	pegasus
7	1.0197482109069824	3.9140512943267822	0.02615046501159668	286	pegasus
7	1.128763198852539	4.471120834350586	0.020981311798095703	261	pegasus
7	1.1265668869018555	2.8776907920837402	0.02361321449279785	296	pegasus
7	0.9482886791229248	4.076648950576782	0.02198505401611328	276	pegasus
7	0.9785268306732178	8.205053091049194	0.022507905960083008	269	pegasus
7	1.154735803604126	5.815467119216919	0.026362180709838867	265	pegasus
7	0.9679172039031982	3.186108112335205	0.02458786964416504	284	pegasus
7	0.9760205745697021	4.734074831008911	0.023234844207763672	287	pegasus
7	1.0582566261291504	3.4108731746673584	0.029154062271118164	286	pegasus
7	2.352398633956909	2.1497840881347656	0.020662546157836914	278	pegasus
7	1.1086511611938477	3.650857448577881	0.02691173553466797	269	pegasus
7	1.0109405517578125	5.159025430679321	0.02204418182373047	269	pegasus
7	1.0211303234100342	2.9374518394470215	0.03172636032104492	282	pegasus
7	1.1468300819396973	4.263833999633789	0.027880430221557617	284	pegasus
7	0.9757649898529053	5.502331972122192	0.02267742156982422	275	pegasus
7	1.5099687576293945	2.760584831237793	0.02167654037475586	281	pegasus
7	1.0670826435089111	3.729170799255371	0.03077411651611328	269	pegasus
7	1.1262288093566895	3.2472891807556152	0.02638721466064453	286	pegasus
7	1.0469396114349365	4.4775097370147705	0.038176536560058594	267	pegasus
7	3.0740795135498047	6.814548969268799	0.026140689849853516	269	pegasus
7	1.335268497467041	4.573550701141357	0.024419784545898438	270	pegasus
7	1.2808847427368164	2.4435770511627197	0.029466629028320312	282	pegasus
7	1.1565971374511719	5.104703903198242	0.020702362060546875	270	pegasus
7	0.9926102161407471	5.289198637008667	0.022844314575195312	254	pegasus
7	1.0389842987060547	5.578327655792236	0.023035049438476562	275	pegasus
7	1.1988306045532227	7.264559745788574	0.030916929244995117	278	pegasus
7	1.426823616027832	8.208040237426758	0.026726961135864258	257	pegasus
7	1.1791176795959473	6.474339723587036	0.022258996963500977	275	pegasus
7	2.0663435459136963	2.670539617538452	0.022823810577392578	279	pegasus
7	1.1719157695770264	3.82546067237854	0.02129340171813965	262	pegasus
7	3.1416642665863037	4.337823152542114	0.022130966186523438	264	pegasus
7	1.3179311752319336	4.056301116943359	0.021867036819458008	282	pegasus
7	0.9979391098022461	5.292114496231079	0.022710561752319336	274	pegasus
7	1.1768388748168945	5.920605659484863	0.023186445236206055	270	pegasus
7	1.1767165660858154	3.5034477710723877	0.025133848190307617	276	pegasus
7	1.4021310806274414	4.944092273712158	0.023718595504760742	256	pegasus
7	1.0017008781433105	5.413128137588501	0.0216827392578125	271	pegasus
7	1.1542408466339111	2.6408543586730957	0.026002883911132812	287	pegasus
7	1.0803511142730713	2.7454113960266113	0.022996187210083008	290	pegasus
7	1.0317695140838623	2.2547872066497803	0.02210402488708496	279	pegasus
7	1.023709774017334	3.0408170223236084	0.02547621726989746	289	pegasus
7	1.0206120014190674	7.470794200897217	0.02351236343383789	266	pegasus
7	0.9815590381622314	7.273478031158447	0.022327184677124023	274	pegasus
7	1.0106172561645508	3.572539806365967	0.021482229232788086	284	pegasus
