n	qpu_t	find_embedding_t	FixedEmbedding_t	num_qubits	topology
4	2.4381861686706543	0.45122766494750977	0.016295909881591797	70	chimera
4	1.693655252456665	0.6845691204071045	0.022305965423583984	74	chimera
4	1.5780346393585205	0.3294196128845215	0.015720844268798828	67	chimera
4	1.8925881385803223	0.4779820442199707	0.022348880767822266	69	chimera
4	1.6656708717346191	1.0297656059265137	0.021562814712524414	74	chimera
4	1.7641985416412354	0.2704002857208252	0.019794225692749023	68	chimera
4	1.4040043354034424	1.274421215057373	0.024242162704467773	74	chimera
4	1.785123586654663	0.5976824760437012	0.01970529556274414	69	chimera
4	1.366255283355713	0.546807050704956	0.017364501953125	71	chimera
4	1.8779656887054443	0.4930307865142822	0.016382455825805664	63	chimera
4	1.372260570526123	0.4891791343688965	0.022321224212646484	66	chimera
4	1.4486496448516846	0.5544717311859131	0.021116018295288086	63	chimera
4	2.0508954524993896	0.30269503593444824	0.02002739906311035	66	chimera
4	1.5047996044158936	0.6270217895507812	0.023806333541870117	72	chimera
4	1.369192123413086	0.2814211845397949	0.018902063369750977	65	chimera
4	2.3513667583465576	0.4060044288635254	0.022084474563598633	64	chimera
4	1.447859764099121	0.6373536586761475	0.020127296447753906	67	chimera
4	1.3046832084655762	0.4560730457305908	0.01798105239868164	70	chimera
4	1.545846939086914	0.6273729801177979	0.024232864379882812	66	chimera
4	2.9256956577301025	0.7371530532836914	0.018781185150146484	70	chimera
4	1.3231189250946045	0.4853217601776123	0.01822638511657715	68	chimera
4	1.4275727272033691	0.6310300827026367	0.02482008934020996	71	chimera
4	1.5126409530639648	0.35880255699157715	0.01962566375732422	66	chimera
4	2.6767349243164062	0.3488023281097412	0.01929450035095215	63	chimera
4	1.4837021827697754	0.4079704284667969	0.01547384262084961	69	chimera
4	1.6090853214263916	0.4845311641693115	0.023604393005371094	67	chimera
4	1.536818504333496	0.3838047981262207	0.025736093521118164	67	chimera
4	1.3772177696228027	0.4170565605163574	0.016547441482543945	65	chimera
4	1.434473991394043	0.20390009880065918	0.022306203842163086	68	chimera
4	3.2503604888916016	0.3677496910095215	0.019326210021972656	76	chimera
4	1.376401662826538	0.4606027603149414	0.01837015151977539	72	chimera
4	1.4586641788482666	0.2943150997161865	0.023453712463378906	60	chimera
4	1.5286247730255127	0.5933787822723389	0.02535700798034668	68	chimera
4	1.565394639968872	0.2088301181793213	0.020494699478149414	65	chimera
4	1.5056579113006592	0.5174236297607422	0.022469282150268555	63	chimera
4	1.5997393131256104	0.40647196769714355	0.021215200424194336	71	chimera
4	1.476670503616333	0.5451488494873047	0.02617192268371582	67	chimera
4	3.5145199298858643	0.2017686367034912	0.020627498626708984	67	chimera
4	1.5251131057739258	0.2519567012786865	0.020911693572998047	66	chimera
4	1.5053482055664062	0.6938190460205078	0.021321535110473633	64	chimera
4	1.5236010551452637	0.4904205799102783	0.02164769172668457	70	chimera
4	1.4767019748687744	0.8261699676513672	0.018999099731445312	69	chimera
4	1.4280450344085693	0.6810650825500488	0.014635324478149414	67	chimera
4	1.6381330490112305	0.3086433410644531	0.01633429527282715	72	chimera
4	1.807084083557129	0.5864994525909424	0.02001500129699707	71	chimera
4	1.437342643737793	0.31852078437805176	0.021657943725585938	65	chimera
4	4.2938456535339355	0.2721066474914551	0.018277645111083984	66	chimera
4	1.6904401779174805	0.5855598449707031	0.021694660186767578	67	chimera
4	1.5143792629241943	0.28033947944641113	0.023181438446044922	68	chimera
4	1.4888758659362793	0.2549436092376709	0.01751565933227539	69	chimera
4	1.5055792331695557	0.4499521255493164	0.021925687789916992	64	chimera
4	1.4293932914733887	0.6040940284729004	0.024384021759033203	72	chimera
4	1.6529195308685303	0.524827241897583	0.01809835433959961	66	chimera
4	1.6687748432159424	0.2911381721496582	0.014210700988769531	66	chimera
4	1.5959913730621338	0.8565053939819336	0.015521049499511719	72	chimera
4	1.6108005046844482	0.6455550193786621	0.02193903923034668	67	chimera
4	1.537097454071045	0.45098280906677246	0.017199039459228516	68	chimera
4	5.132481813430786	0.5882484912872314	0.020361661911010742	71	chimera
4	1.5297939777374268	0.4326012134552002	0.016306400299072266	66	chimera
4	1.5021603107452393	0.39024806022644043	0.019562244415283203	64	chimera
4	1.6300795078277588	0.44073009490966797	0.020667552947998047	67	chimera
4	1.518770694732666	0.5140948295593262	0.018553495407104492	70	chimera
4	1.5760533809661865	0.4951298236846924	0.015663623809814453	68	chimera
4	1.5062322616577148	0.5172040462493896	0.023527145385742188	65	chimera
4	1.510704517364502	0.35108113288879395	0.01899123191833496	60	chimera
4	1.4970650672912598	0.6966395378112793	0.01846790313720703	72	chimera
4	1.323599100112915	0.48981380462646484	0.012829303741455078	66	chimera
4	1.1863911151885986	0.31700563430786133	0.013771533966064453	71	chimera
4	1.4587123394012451	0.2060258388519287	0.015413522720336914	64	chimera
4	1.3941197395324707	0.259171724319458	0.01931452751159668	71	chimera
4	3.952432632446289	0.48793697357177734	0.012496709823608398	66	chimera
4	1.1485795974731445	0.1412951946258545	0.011816263198852539	65	chimera
4	1.148939847946167	0.17237544059753418	0.011124849319458008	63	chimera
4	1.3216946125030518	0.3181302547454834	0.012488603591918945	65	chimera
4	1.5021774768829346	0.2212526798248291	0.011350154876708984	76	chimera
4	1.1668126583099365	0.20673489570617676	0.012488603591918945	63	chimera
4	1.1527397632598877	0.3987898826599121	0.012664318084716797	66	chimera
4	1.2442893981933594	0.3334615230560303	0.009020566940307617	66	chimera
4	1.1574532985687256	0.21689176559448242	0.012442350387573242	65	chimera
