n	qpu_t	find_embedding_t	FixedEmbedding_t	num_qubits	topology
4	1.8376829624176025	0.2575204372406006	0.009851217269897461	66	chimera
4	1.3610694408416748	0.26738476753234863	0.011932373046875	65	chimera
4	1.3333261013031006	0.3034501075744629	0.011340141296386719	67	chimera
4	1.4430122375488281	0.23199248313903809	0.009066581726074219	66	chimera
4	1.2809839248657227	0.2703542709350586	0.009850263595581055	64	chimera
4	1.3928453922271729	0.14723992347717285	0.01049947738647461	72	chimera
4	1.0883269309997559	0.7019438743591309	0.012433767318725586	67	chimera
4	1.8905253410339355	0.24092745780944824	0.009011507034301758	77	chimera
4	1.0391714572906494	0.22819876670837402	0.013605833053588867	70	chimera
4	1.4846348762512207	0.19416141510009766	0.011730194091796875	67	chimera
4	0.9984166622161865	0.394817590713501	0.011212348937988281	74	chimera
4	1.0695769786834717	0.3753180503845215	0.010087966918945312	73	chimera
4	1.6060857772827148	0.3917520046234131	0.011631250381469727	73	chimera
4	1.059156894683838	0.1659994125366211	0.011383533477783203	70	chimera
4	1.6654248237609863	0.2693970203399658	0.011763811111450195	67	chimera
4	1.9359524250030518	0.37419939041137695	0.01435708999633789	70	chimera
4	1.1722040176391602	0.3748321533203125	0.012505292892456055	72	chimera
4	1.402543067932129	0.2826249599456787	0.01998591423034668	63	chimera
4	1.3919603824615479	0.18292522430419922	0.035291194915771484	70	chimera
4	2.3579630851745605	0.284074068069458	0.0191037654876709	62	chimera
4	1.3049278259277344	0.4565889835357666	0.018750429153442383	61	chimera
4	1.1594054698944092	0.306459903717041	0.013320207595825195	74	chimera
4	1.2658336162567139	0.16491174697875977	0.013537883758544922	64	chimera
4	2.64328670501709	0.19618844985961914	0.011540889739990234	71	chimera
4	1.1333577632904053	0.46338939666748047	0.010942459106445312	68	chimera
4	1.2450098991394043	0.21547365188598633	0.013229608535766602	68	chimera
4	1.2567627429962158	0.3200385570526123	0.010766267776489258	67	chimera
4	1.146444320678711	0.28229618072509766	0.011262655258178711	66	chimera
4	1.1352181434631348	0.48442673683166504	0.025281667709350586	71	chimera
4	3.6620380878448486	0.5383102893829346	0.0152130126953125	65	chimera
4	1.5526368618011475	0.4002218246459961	0.013098716735839844	72	chimera
4	1.401503086090088	0.4760863780975342	0.012707710266113281	67	chimera
4	1.3761343955993652	0.39636945724487305	0.01816082000732422	75	chimera
4	1.32582426071167	0.20179128646850586	0.019843101501464844	65	chimera
4	1.4364581108093262	0.48937129974365234	0.015350580215454102	71	chimera
4	1.2990679740905762	0.3448047637939453	0.015212774276733398	69	chimera
4	1.3566970825195312	0.44471240043640137	0.009397029876708984	67	chimera
4	2.776726484298706	0.26696157455444336	0.010601997375488281	65	chimera
4	1.3685448169708252	0.24491047859191895	0.00996541976928711	69	chimera
4	1.1365890502929688	0.282365083694458	0.010445117950439453	65	chimera
4	1.2057697772979736	0.3883504867553711	0.011149168014526367	67	chimera
4	1.1804108619689941	0.3200678825378418	0.009723186492919922	65	chimera
4	1.1672544479370117	0.24531888961791992	0.01201772689819336	70	chimera
4	1.3315351009368896	0.9059154987335205	0.009623527526855469	72	chimera
4	1.311342477798462	0.1923835277557373	0.009995460510253906	68	chimera
4	1.1976308822631836	0.24485254287719727	2.121568441390991	73	chimera
4	1.126272201538086	0.4432082176208496	0.011757135391235352	62	chimera
