    0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0   0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0               38
1   0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0               72
2   0  0  1  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                3
3   0  0  1  0  0  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0                1
4   0  0  1  0  0  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                2
5   0  0  1  0  1  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0                1
6   0  1  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -6.0                1
7   0  0  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
8   1  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                1
9   0  0  1  0  1  0  0  0  0  0   0   1   0   0   0   0                0.0000    -6.0                2
10  0  1  0  0  0  0  0  1  0  0   0   0   1   0   0   0                0.0000    -6.0                3
11  0  0  0  1  0  1  0  0  0  0   0   0   0   0   1   0                0.0000    -6.0                1
12  1  0  0  0  0  0  0  1  0  1   0   0   0   0   1   0                0.0000    -6.0                2
13  1  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
14  0  0  0  1  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
15  0  1  0  0  0  0  0  1  0  0   1   0   1   0   0   0                0.0000    -6.0                2
16  0  1  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
17  0  0  1  1  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                3
18  0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   1                0.0000    -6.0                2
19  0  0  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                3
20  0  0  0  1  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                2
21  1  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
22  0  1  0  0  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -6.0                2
23  0  1  0  0  0  0  0  1  1  0   0   0   1   0   0   0                0.0000    -6.0                1
24  1  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                3
25  0  0  0  1  1  0  0  0  0  0   1   0   0   0   0   0                0.0000    -6.0                3
26  0  1  0  0  0  0  0  1  1  0   0   0   1   0   1   0                0.0000    -6.0                2
27  0  0  1  1  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                1
28  0  0  0  1  0  1  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                3
29  0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                2
30  0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   1                0.0000    -6.0                8
31  1  0  0  0  0  0  1  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
32  1  0  0  0  0  0  1  0  0  0   0   0   0   1   0   0                0.0000    -6.0                1
33  0  0  0  1  1  0  0  0  0  0   1   0   0   1   0   0                0.0000    -6.0                1
34  0  0  1  0  1  0  0  0  0  0   0   0   0   0   0   1                0.0000    -6.0                1
35  0  0  1  0  1  0  0  0  0  0   0   1   0   0   0   1                0.0000    -6.0                3
36  1  0  0  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
37  0  1  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                2
38  0  1  0  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -6.0                3
39  0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                2
40  0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   1                0.0000    -6.0                2
41  1  1  0  0  0  0  0  1  0  1   0   0   0   0   1   0                0.0000    -4.0                1
42  0  0  0  0  0  1  0  1  0  0   0   0   1   0   1   0                0.0000    -4.0                1
43  0  0  0  0  0  1  0  0  0  0   0   0   1   0   0   0                0.0000    -4.0                1
44  0  0  0  1  0  0  0  0  0  0   0   0   0   0   1   0                0.0000    -4.0                1
45  1  0  0  1  0  0  0  0  0  0   0   0   0   1   0   0                0.0000    -4.0                1
46  1  0  0  1  0  0  0  0  0  0   0   0   0   1   1   0                0.0000    -4.0                1
47  1  0  0  0  0  0  0  1  0  0   0   0   0   1   1   0                0.0000    -4.0                1
48  0  0  0  1  1  0  0  0  0  0   1   0   0   0   1   0                0.0000    -4.0                1
49  0  1  0  0  0  0  0  1  1  0   0   0   0   0   0   1                0.0625    -6.0                1
50  1  0  0  0  0  0  1  0  0  1   0   0   0   1   0   1                0.0000    -2.0                1
