n   emb(s)   emb(ms)
8   1.787489891052246   1787.489891052246
8   1.5528264045715332   1552.8264045715332
8   1.3466122150421143   1346.6122150421143
8   1.4491920471191406   1449.1920471191406
8   1.6679069995880127   1667.9069995880127
8   1.6474308967590332   1647.4308967590332
8   1.4042532444000244   1404.2532444000244
8   1.599954605102539   1599.954605102539
8   1.2075402736663818   1207.5402736663818
8   1.9806041717529297   1980.6041717529297
8   1.3001739978790283   1300.1739978790283
8   1.2321438789367676   1232.1438789367676
8   1.7698283195495605   1769.8283195495605
8   1.380772352218628   1380.772352218628
8   1.4198739528656006   1419.8739528656006
8   2.1183767318725586   2118.3767318725586
8   1.5895099639892578   1589.5099639892578
8   1.3469595909118652   1346.9595909118652
8   1.2411062717437744   1241.1062717437744
8   2.2585930824279785   2258.5930824279785
8   1.3979847431182861   1397.9847431182861
8   1.3246886730194092   1324.6886730194092
8   1.275165319442749   1275.165319442749
8   1.2687339782714844   1268.7339782714844
8   2.4104154109954834   2410.4154109954834
8   1.581052541732788   1581.052541732788
8   1.4250845909118652   1425.0845909118652
8   1.3401150703430176   1340.1150703430176
8   1.379612684249878   1379.612684249878
8   2.8649837970733643   2864.9837970733643
8   1.7124216556549072   1712.4216556549072
8   1.3157997131347656   1315.7997131347656
8   1.4426300525665283   1442.6300525665283
8   1.4899201393127441   1489.9201393127441
8   1.385148525238037   1385.148525238037
8   1.374631404876709   1374.631404876709
8   1.6098523139953613   1609.8523139953613
8   3.126859664916992   3126.859664916992
8   1.3872108459472656   1387.2108459472656
8   1.4668149948120117   1466.8149948120117
8   1.36562180519104   1365.62180519104
8   1.493769645690918   1493.769645690918
8   1.2999436855316162   1299.9436855316162
8   1.328037977218628   1328.037977218628
8   1.3416309356689453   1341.6309356689453
8   1.1857006549835205   1185.7006549835205
8   3.427051544189453   3427.051544189453
8   1.2139370441436768   1213.9370441436768
8   1.4698901176452637   1469.8901176452637
8   1.2699346542358398   1269.9346542358398
8   1.270240068435669   1270.240068435669
8   1.6165919303894043   1616.5919303894043
8   1.4986908435821533   1498.6908435821533
8   1.6533279418945312   1653.3279418945312
8   1.3020386695861816   1302.0386695861816
8   1.4511432647705078   1451.1432647705078
8   1.4469008445739746   1446.9008445739746
8   4.232274770736694   4232.274770736694
8   1.925400733947754   1925.400733947754
8   2.2288670539855957   2228.8670539855957
8   2.245837926864624   2245.837926864624
8   2.4660332202911377   2466.0332202911377
8   2.296574354171753   2296.574354171753
8   2.513018846511841   2513.018846511841
8   2.251418113708496   2251.418113708496
8   1.727461338043213   1727.461338043213
8   1.7106916904449463   1710.6916904449463
8   1.7942554950714111   1794.2554950714111
8   1.805253028869629   1805.253028869629
8   1.6652026176452637   1665.2026176452637
8   1.9198482036590576   1919.8482036590576
8   4.871874094009399   4871.874094009399
8   1.2566993236541748   1256.6993236541748
8   1.2727437019348145   1272.7437019348145
8   1.4525387287139893   1452.5387287139893
8   1.6720643043518066   1672.0643043518066
8   1.4798498153686523   1479.8498153686523
8   1.3808226585388184   1380.8226585388184
8   1.2624645233154297   1262.4645233154297
8   1.5147109031677246   1514.7109031677246
8   1.3486659526824951   1348.6659526824951
8   1.3470580577850342   1347.0580577850342
8   1.3211843967437744   1321.1843967437744
8   1.5354416370391846   1535.4416370391846
8   1.3828232288360596   1382.8232288360596
8   1.3472325801849365   1347.2325801849365
8   1.40256929397583   1402.56929397583
8   1.4071040153503418   1407.1040153503418
8   5.419628858566284   5419.628858566284
8   1.503659963607788   1503.659963607788
8   1.3393890857696533   1339.3890857696533
8   1.4438142776489258   1443.8142776489258
8   1.3483912944793701   1348.3912944793701
8   1.3816964626312256   1381.6964626312256
8   1.5133638381958008   1513.3638381958008
8   1.535923719406128   1535.923719406128
8   1.346146583557129   1346.146583557129
8   1.766279697418213   1766.279697418213
8   1.4424118995666504   1442.4118995666504
8   1.3850867748260498   1385.0867748260498
