     0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0    0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0               90
1    0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0               42
2    0  1  0  0  0  0  0  1  1  0   0   0   1   0   1   0                0.0000    -6.0                5
3    0  1  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -6.0                8
4    0  0  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
5    0  1  0  0  0  0  0  1  1  0   0   0   1   0   0   0                0.0000    -6.0               12
6    0  1  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                5
7    1  0  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                3
8    1  0  0  0  0  0  0  1  0  1   0   0   0   0   1   0                0.0000    -6.0                2
9    1  0  0  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -6.0                3
10   1  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                7
11   0  0  1  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                7
12   0  0  0  1  0  1  0  0  0  0   0   0   0   0   1   0                0.0000    -6.0                3
13   0  1  0  0  0  0  0  1  1  0   0   0   0   0   0   1                0.0000    -6.0               10
14   0  1  0  0  0  0  0  1  0  0   0   0   1   0   0   0                0.0000    -6.0               11
15   0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   1                0.0000    -6.0                8
16   0  0  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                5
17   0  1  0  0  0  0  0  1  0  0   1   0   1   0   0   0                0.0000    -6.0                3
18   0  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                3
19   0  0  1  0  0  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0                9
20   0  0  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                6
21   0  0  1  0  1  0  0  0  0  0   0   0   0   0   0   1                0.0000    -6.0                5
22   0  0  0  1  1  0  0  0  0  0   1   0   0   1   0   0                0.0000    -6.0                1
23   0  0  0  1  1  0  0  0  0  0   1   0   0   0   0   0                0.0000    -6.0                1
24   0  1  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                3
25   0  1  0  0  0  0  0  1  1  0   0   0   0   0   0   0                0.0000    -6.0                4
26   0  1  0  0  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -6.0               14
27   0  0  1  0  1  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0               10
28   0  0  1  0  1  0  0  0  0  0   0   1   0   0   0   1                0.0000    -6.0                9
29   0  0  1  0  1  0  0  0  0  0   0   1   0   0   0   0                0.0000    -6.0                7
30   0  0  1  0  0  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                5
31   0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   1                0.0000    -6.0                2
32   1  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
33   1  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                5
34   1  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                4
35   1  0  0  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
36   0  0  1  0  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                8
37   0  0  0  1  0  1  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                3
38   0  1  0  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -6.0               12
39   0  0  0  0  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                8
40   0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0               16
41   1  0  0  0  0  0  1  0  0  0   0   0   0   1   0   0                0.0000    -6.0                2
42   0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   1                0.0000    -6.0                5
43   1  0  0  0  0  0  1  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
44   0  0  1  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                2
45   1  0  0  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
46   0  0  1  0  1  0  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                5
47   0  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                3
48   0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   1                0.0000    -6.0                5
49   0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                1
50   1  0  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                3
51   0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                4
52   0  0  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0               15
53   0  0  1  1  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                2
54   1  0  0  0  0  0  1  0  0  0   0   1   0   1   0   0                0.0625    -6.0                1
55   0  0  1  0  1  0  0  0  0  0   0   1   1   0   0   0                0.0625    -6.0                1
56   0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0625    -6.0                2
57   0  0  0  0  0  0  0  1  1  0   0   0   1   0   0   0                0.0000    -4.0                1
58   0  1  0  0  0  0  1  1  1  0   0   0   0   0   0   0                0.0000    -4.0                1
59   0  1  0  0  0  0  0  1  0  1   0   0   0   0   1   0                0.0000    -4.0                1
60   0  0  0  0  0  0  0  1  0  1   0   0   1   0   0   0                0.0000    -4.0                1
61   0  1  0  0  0  0  0  1  0  1   0   0   1   0   0   0                0.0000    -4.0                1
62   0  1  0  1  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -4.0                2
63   0  0  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -4.0                1
64   1  0  0  1  0  0  0  0  0  0   0   0   0   0   1   0                0.0000    -4.0                1
65   0  1  0  0  0  0  0  1  1  1   0   0   0   0   0   0                0.0000    -4.0                1
66   0  0  1  0  1  0  0  0  0  0   1   1   0   0   0   0                0.0000    -4.0                1
67   0  1  0  0  0  0  0  1  0  0   0   0   0   0   0   0                0.0000    -4.0                1
68   0  0  1  0  1  0  0  0  0  1   0   0   0   0   0   0                0.0000    -4.0                1
69   0  1  0  0  0  0  0  1  1  1   0   0   0   0   0   1                0.0000    -4.0                1
70   1  0  1  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -4.0                1
71   0  1  0  0  1  0  0  0  0  0   1   0   0   0   0   0                0.0000    -4.0                1
72   1  0  0  1  0  0  1  0  0  0   0   0   0   1   0   0                0.0000    -4.0                1
73   0  1  0  0  1  0  0  0  0  0   1   0   0   0   0   1                0.0000    -4.0                1
74   0  0  0  0  0  0  0  0  0  0   1   1   1   0   0   0                0.0000    -4.0                1
75   0  0  1  0  0  0  0  0  0  1   0   0   1   0   0   0                0.0000    -4.0                1
76   0  0  1  0  0  0  0  0  1  1   0   0   0   0   0   1                0.0000    -4.0                2
77   1  0  0  0  0  0  0  0  0  1   0   0   0   0   0   1                0.0000    -4.0                1
78   1  0  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -4.0                1
79   0  1  0  1  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -4.0                2
80   0  0  1  0  1  0  1  0  0  0   0   0   0   0   0   1                0.0000    -4.0                1
81   0  0  0  1  0  0  0  0  1  0   0   0   0   0   0   0                0.0000    -4.0                1
82   0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   0                0.0000    -4.0                1
83   0  1  0  0  0  0  0  1  0  0   0   0   0   0   0   1                0.0000    -4.0                1
84   0  1  1  0  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -4.0                1
85   0  0  0  1  0  0  0  0  0  0   1   0   0   0   0   0                0.0000    -4.0                1
86   1  0  0  0  0  0  0  1  0  1   0   0   1   0   0   0                0.0000    -4.0                1
87   0  0  0  1  0  1  0  1  1  0   0   0   0   0   1   0                0.0000    -4.0                1
88   0  1  1  0  0  0  0  0  0  1   0   0   0   0   0   1                0.0000    -4.0                2
89   0  1  0  1  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -4.0                1
90   0  0  0  0  0  0  0  1  1  1   0   0   0   0   0   1                0.0000    -4.0                2
91   1  1  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -4.0                1
92   1  0  0  0  0  0  0  1  0  0   0   0   1   0   0   0                0.0000    -4.0                1
93   0  0  0  0  0  0  0  1  1  0   0   0   0   0   1   1                0.0000    -4.0                1
94   0  0  0  0  0  1  0  0  0  0   1   1   1   0   0   0                0.0000    -4.0                1
95   1  0  1  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -4.0                1
96   0  0  0  1  1  0  0  0  1  0   0   0   0   0   0   1                0.0000    -4.0                1
97   0  0  1  0  0  0  0  0  0  0   0   1   0   1   0   1                0.0000    -4.0                1
98   1  0  0  0  0  0  0  0  0  0   0   0   0   0   1   0                0.0000    -4.0                1
99   1  0  0  0  1  0  1  0  0  0   0   0   0   1   0   0                0.0000    -4.0                1
100  0  0  1  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -4.0                1
101  0  1  1  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -4.0                1
102  0  1  1  0  0  0  0  0  0  0   0   0   1   0   0   1                0.0000    -4.0                1
103  0  0  0  1  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -4.0                1
104  0  1  1  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -4.0                1
105  0  0  1  1  0  0  0  0  0  0   0   0   0   1   0   0                0.0000    -4.0                1
106  0  1  0  0  0  0  0  0  0  0   1   0   1   0   1   0                0.0000    -4.0                1
107  0  1  0  0  1  0  0  0  0  0   1   0   1   0   0   0                0.0000    -4.0                1
108  0  0  0  0  0  0  1  0  1  0   0   0   0   1   0   0                0.0000    -4.0                1
109  1  0  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -4.0                1
110  1  0  0  1  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -4.0                1
111  1  0  0  1  0  0  0  0  0  0   0   0   0   1   1   0                0.0000    -4.0                1
112  0  1  0  1  0  0  0  0  1  0   0   0   0   0   1   1                0.0000    -4.0                1
113  0  0  0  1  0  1  0  0  0  0   0   0   0   0   0   0                0.0000    -4.0                1
114  0  0  0  0  0  0  1  0  1  1   0   0   0   0   0   1                0.0000    -4.0                1
115  1  0  0  0  0  0  1  0  0  0   0   0   0   1   0   1                0.0000    -4.0                1
116  0  0  0  1  1  0  0  0  1  0   1   0   0   0   0   0                0.0000    -4.0                1
117  0  0  0  1  0  1  0  0  0  0   0   1   0   0   0   0                0.0000    -4.0                1
118  0  0  1  0  0  0  0  0  0  0   0   0   0   0   0   1                0.0000    -4.0                1
119  1  0  0  0  0  0  1  0  1  0   0   0   0   1   0   0                0.0000    -4.0                1
120  0  0  1  0  0  0  0  0  0  0   0   0   0   1   0   1                0.0000    -4.0                2
121  1  0  0  0  0  1  0  0  0  0   0   0   0   0   1   0                0.0000    -4.0                1
122  0  0  0  1  1  0  0  0  0  0   1   0   0   0   0   1                0.0625    -4.0                1
123  0  0  0  0  1  0  1  0  0  0   0   0   0   0   0   1                0.0625    -4.0                1
124  0  0  1  0  0  0  1  0  0  0   0   1   0   0   0   0                0.0625    -2.0                1
125  0  0  1  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0625    -4.0                1
126  0  0  0  1  0  0  0  1  0  0   0   0   0   0   0   0                0.0000    -2.0                1
127  0  1  0  0  0  0  0  0  0  1   0   0   1   0   0   1                0.0000    -2.0                1
128  0  0  0  1  0  0  0  0  0  0   0   0   1   0   0   0                0.0000    -2.0                1
129  1  0  1  0  0  0  0  1  0  1   0   0   1   0   0   0                0.0000    -2.0                1
130  1  0  0  0  0  0  0  0  0  0   0   1   0   0   0   1                0.0000    -2.0                1
