n   d   nvars   py_time   qpu_access_time   charge_time   run_time   energy   solution
10   18   44   6212.6898765563965   154.744   2986.641   2986.641   -20.0   YES
10   18   44   6113.5101318359375   96.045   2984.05   2984.05   -20.0   YES
10   18   44   8732.769250869751   76.661   2995.631   2995.631   -20.0   YES
10   18   44   8204.655170440674   76.70100000000001   2990.361   2990.361   -20.0   YES
10   18   44   7944.81635093689   95.624   2982.228   2982.228   -20.0   YES
20   38   168   6548.027753829956   108.376   2998.2670000000003   2998.2670000000003   -40.0   YES
20   38   168   8047.587871551514   56.669000000000004   2994.085   2994.085   -40.0   YES
20   38   168   8222.631692886353   56.698   2987.994   2987.994   -40.0   YES
20   38   168   6728.832244873047   24.29   2993.294   2993.294   -40.0   YES
20   38   168   7949.220657348633   56.116   2998.789   2998.789   -40.0   YES
30   58   378   9200.125217437744   36.759   2995.301   2995.301   -60.0   YES
30   58   378   8237.11633682251   36.765   2990.222   2990.222   -60.0   YES
30   58   378   8310.120820999146   36.727000000000004   2996.8450000000003   2996.8450000000003   -60.0   YES
30   58   378   8192.8551197052   36.767   2988.38   2988.38   -60.0   YES
30   58   378   8527.187824249268   36.763   2997.925   2997.925   -60.0   YES
40   78   675   8339.020013809204   36.759   2988.107   2988.107   -80.0   YES
40   78   675   9304.828882217407   36.763   2991.52   2991.52   -76.0   NO
40   78   675   9125.539302825928   36.761   2989.919   2989.919   -80.0   YES
40   78   675   9110.633611679077   36.758   2991.802   2991.802   -80.0   YES
40   78   675   7141.987085342407   36.761   2997.946   2997.946   -80.0   YES
50   98   1050   9518.269300460815   36.764   3058.329   3058.329   -96.0   NO
50   98   1050   9679.848670959473   36.761   3050.052   3050.052   -96.0   NO
50   98   1050   7953.899621963501   36.757   3048.18   3048.18   -96.0   NO
50   98   1050   9376.415967941284   36.764   3047.198   3047.198   -96.0   NO
50   98   1050   6468.861103057861   36.763   3043.507   3043.507   -96.0   NO
