   0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0  0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0                1
1  0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0                2
2  1  0  0  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -6.0                1
3  0  1  0  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -6.0                1
4  0  1  0  0  0  0  0  1  1  0   0   0   1   0   0   0                0.0000    -6.0                1
5  1  0  0  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
6  1  0  0  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
7  0  1  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0625    -6.0                1
8  0  0  0  0  0  1  0  0  0  0   0   1   1   1   0   0                0.0000    -4.0                1
