    0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0   0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0               19
1   0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0              128
2   1  0  0  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -6.0                1
3   0  0  1  0  1  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0                2
4   0  0  1  0  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                1
5   0  0  1  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                1
6   1  0  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
7   0  0  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
8   1  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                1
9   1  0  0  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
10  0  1  0  0  0  0  0  1  0  0   0   0   1   0   0   0                0.0000    -6.0                1
11  1  0  0  0  0  0  0  1  0  1   0   0   0   0   1   0                0.0000    -6.0                2
12  1  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                6
13  0  1  0  0  0  0  0  1  0  0   1   0   1   0   0   0                0.0000    -6.0                1
14  1  0  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                5
15  0  1  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                3
16  0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   1                0.0000    -6.0                1
17  0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   1                0.0000    -6.0                1
18  0  0  0  1  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                1
19  0  1  0  0  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -6.0                1
20  0  1  0  0  0  0  0  1  1  0   0   0   1   0   0   0                0.0000    -6.0                1
21  0  0  0  1  1  0  0  0  0  0   1   0   0   0   0   0                0.0000    -6.0                1
22  0  1  0  0  0  0  0  1  1  0   0   0   1   0   1   0                0.0000    -6.0                2
23  0  0  0  1  0  1  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                3
24  0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                2
25  0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   1                0.0000    -6.0                2
26  1  0  0  0  0  0  1  0  0  0   0   0   0   1   0   0                0.0000    -6.0                1
27  1  0  0  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
28  0  1  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                1
29  0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   0                0.0625    -6.0                1
30  1  0  0  0  0  1  0  0  0  0   0   1   0   0   1   0                0.0000    -4.0                1
31  0  0  0  1  1  0  0  0  0  0   0   0   0   1   1   0                0.0000    -4.0                1
32  0  0  0  1  1  1  0  0  0  0   0   0   0   0   1   0                0.0000    -4.0                1
33  0  1  0  0  0  0  0  0  1  1   0   0   0   0   0   1                0.0000    -4.0                1
34  1  0  0  0  0  0  0  0  0  0   0   1   0   1   1   0                0.0000    -4.0                1
35  0  0  0  0  0  1  0  0  0  0   0   0   0   0   1   0                0.0625    -4.0                1
